transactionno,transactiondate,transactiontime,itemname,customername,paymentmethod,paymentrceipt,costprice(rm),sellingprice(rm),profit(rm)
T0220,11/03/2025,15:11,Chocojar(Blueberry),Faiz Rahman,Cash,N/A,6.5,8,1.5
T0221,11/03/2025,11:17,Chocojar(Blueberry),Zulkifli Latif,Cash,N/A,6.5,8,1.5
T0222,11/03/2025,17:36,Chocojar(Vanilla),Nur Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0516,6.5,8,1.5
T0223,11/03/2025,14:21,Chocojar(Matcha),Liyana Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0526,6.5,8,1.5
T0224,11/03/2025,20:04,Chocojar(Matcha),Ahmad Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0536,6.5,8,1.5
T0225,11/03/2025,20:09,Chocojar(Matcha),Siti Yusof,Cash,N/A,6.5,8,1.5
T0226,11/03/2025,14:34,Chocojar(Strawberry),Faiz Zainal,Cash,N/A,6.5,8,1.5
T0227,11/03/2025,20:34,Chocojar(Strawberry),Hafiz Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0637,6.5,8,1.5
T0228,12/03/2025,08:05,Chocojar(Chocolate),Aina Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0004,6.5,8,1.5
T0229,12/03/2025,14:38,Chocojar(Vanilla),Zara Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0005,6.5,8,1.5
T0230,12/03/2025,13:53,Chocojar(Blueberry),Liyana Hassan,Cash,N/A,6.5,8,1.5
T0231,12/03/2025,08:06,Chocojar(Vanilla),Hafiz Salleh,Cash,N/A,6.5,8,1.5
T0232,12/03/2025,18:16,Chocojar(Chocolate),Liyana Rahman,Cash,N/A,6.5,8,1.5
T0233,12/03/2025,17:34,Chocojar(Chocolate),Nur Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0070,6.5,8,1.5
T0234,12/03/2025,11:41,Chocojar(Matcha),Siti Yusof,Cash,N/A,6.5,8,1.5
T0235,12/03/2025,22:14,Chocojar(Matcha),Ahmad Ismail,Cash,N/A,6.5,8,1.5
T0236,12/03/2025,14:33,Chocojar(Blueberry),Ahmad Latif,OnlineBanking,https://photos.app.goo.gl.com/T0198,6.5,8,1.5
T0237,12/03/2025,19:53,Chocojar(Strawberry),Faiz Ismail,Cash,N/A,6.5,8,1.5
T0238,12/03/2025,20:44,Chocojar(Vanilla),Hafiz Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0209,6.5,8,1.5
T0239,12/03/2025,17:54,Chocojar(Matcha),Aina Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0213,6.5,8,1.5
T0240,12/03/2025,10:56,Chocojar(Strawberry),Nur Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0214,6.5,8,1.5
T0241,12/03/2025,21:30,Chocojar(Matcha),Liyana Latif,Cash,N/A,6.5,8,1.5
T0242,12/03/2025,20:55,Chocojar(Blueberry),Aina Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0241,6.5,8,1.5
T0243,12/03/2025,09:19,Chocojar(Strawberry),Ahmad Zainal,Cash,N/A,6.5,8,1.5
T0244,12/03/2025,16:40,Chocojar(Blueberry),Aina Omar,OnlineBanking,https://photos.app.goo.gl.com/T0286,6.5,8,1.5
T0245,12/03/2025,14:20,Chocojar(Chocolate),Aina Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0293,6.5,8,1.5
T0246,12/03/2025,19:10,Chocojar(Matcha),Nur Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0298,6.5,8,1.5
T0247,12/03/2025,22:41,Chocojar(Matcha),Zulkifli Yusof,Cash,N/A,6.5,8,1.5
T0248,12/03/2025,18:18,Chocojar(Strawberry),Nur Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0342,6.5,8,1.5
T0249,12/03/2025,18:04,Chocojar(Chocolate),Hafiz Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0371,6.5,8,1.5
T0250,12/03/2025,09:51,Chocojar(Vanilla),Siti Latif,OnlineBanking,https://photos.app.goo.gl.com/T0383,6.5,8,1.5
T0251,12/03/2025,20:58,Chocojar(Blueberry),Hafiz Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0513,6.5,8,1.5
T0252,12/03/2025,11:33,Chocojar(Blueberry),Liyana Hassan,Cash,N/A,6.5,8,1.5
T0253,12/03/2025,08:20,Chocojar(Vanilla),Zulkifli Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0656,6.5,8,1.5
T0254,13/03/2025,13:26,Chocojar(Matcha),Zara Hassan,Cash,N/A,6.5,8,1.5
T0255,13/03/2025,09:26,Chocojar(Blueberry),Nur Rahman,Cash,N/A,6.5,8,1.5
T0256,13/03/2025,11:33,Chocojar(Chocolate),Liyana Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0147,6.5,8,1.5
T0257,13/03/2025,21:39,Chocojar(Vanilla),Siti Zainal,Cash,N/A,6.5,8,1.5
T0258,13/03/2025,22:48,Chocojar(Matcha),Ali Latif,Cash,N/A,6.5,8,1.5
T0259,13/03/2025,15:30,Chocojar(Blueberry),Liyana Omar,Cash,N/A,6.5,8,1.5
T0260,13/03/2025,08:48,Chocojar(Matcha),Zulkifli Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0216,6.5,8,1.5
T0261,13/03/2025,16:48,Chocojar(Strawberry),Zara Salleh,Cash,N/A,6.5,8,1.5
T0262,13/03/2025,17:42,Chocojar(Blueberry),Aina Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0395,6.5,8,1.5
T0263,13/03/2025,20:29,Chocojar(Matcha),Faiz Rahman,Cash,N/A,6.5,8,1.5
T0264,13/03/2025,20:53,Chocojar(Vanilla),Siti Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0482,6.5,8,1.5
T0265,13/03/2025,21:10,Chocojar(Chocolate),Zulkifli Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0510,6.5,8,1.5
T0266,13/03/2025,21:53,Chocojar(Matcha),Nur Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0514,6.5,8,1.5
T0267,13/03/2025,16:22,Chocojar(Chocolate),Zara Latif,OnlineBanking,https://photos.app.goo.gl.com/T0527,6.5,8,1.5
T0268,13/03/2025,18:46,Chocojar(Blueberry),Liyana Yusof,Cash,N/A,6.5,8,1.5
T0269,13/03/2025,20:49,Chocojar(Vanilla),Faiz Salleh,Cash,N/A,6.5,8,1.5
T0270,13/03/2025,08:48,Chocojar(Blueberry),Siti Omar,Cash,N/A,6.5,8,1.5
T0271,13/03/2025,20:05,Chocojar(Blueberry),Ali Aziz,Cash,N/A,6.5,8,1.5
T0272,14/03/2025,11:12,Chocojar(Matcha),Zulkifli Zainal,Cash,N/A,6.5,8,1.5
T0273,14/03/2025,13:17,Chocojar(Matcha),Ahmad Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0027,6.5,8,1.5
T0274,14/03/2025,10:01,Chocojar(Blueberry),Ali Aziz,Cash,N/A,6.5,8,1.5
T0275,14/03/2025,19:10,Chocojar(Blueberry),Faiz Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0062,6.5,8,1.5
T0276,14/03/2025,14:48,Chocojar(Strawberry),Ali Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0071,6.5,8,1.5
T0277,14/03/2025,20:42,Chocojar(Strawberry),Zulkifli Omar,OnlineBanking,https://photos.app.goo.gl.com/T0104,6.5,8,1.5
T0278,14/03/2025,11:57,Chocojar(Matcha),Siti Ismail,Cash,N/A,6.5,8,1.5
T0279,14/03/2025,20:35,Chocojar(Strawberry),Ahmad Latif,OnlineBanking,https://photos.app.goo.gl.com/T0170,6.5,8,1.5
T0280,14/03/2025,21:06,Chocojar(Strawberry),Zara Aziz,Cash,N/A,6.5,8,1.5
T0281,14/03/2025,12:34,Chocojar(Matcha),Aina Abdullah,Cash,N/A,6.5,8,1.5
T0282,14/03/2025,20:18,Chocojar(Chocolate),Nur Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0316,6.5,8,1.5
T0283,14/03/2025,15:56,Chocojar(Chocolate),Zulkifli Rahman,Cash,N/A,6.5,8,1.5
T0284,14/03/2025,19:25,Chocojar(Chocolate),Aina Salleh,Cash,N/A,6.5,8,1.5
T0285,14/03/2025,21:50,Chocojar(Vanilla),Zara Rahman,Cash,N/A,6.5,8,1.5
T0286,14/03/2025,16:24,Chocojar(Strawberry),Ahmad Ismail,Cash,N/A,6.5,8,1.5
T0287,14/03/2025,17:01,Chocojar(Strawberry),Zulkifli Rahman,Cash,N/A,6.5,8,1.5
T0288,14/03/2025,22:32,Chocojar(Blueberry),Zulkifli Abdullah,Cash,N/A,6.5,8,1.5
T0289,14/03/2025,10:51,Chocojar(Chocolate),Zara Salleh,Cash,N/A,6.5,8,1.5
T0290,14/03/2025,08:34,Chocojar(Chocolate),Nur Latif,OnlineBanking,https://photos.app.goo.gl.com/T0565,6.5,8,1.5
T0291,14/03/2025,14:37,Chocojar(Vanilla),Faiz Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0596,6.5,8,1.5
T0292,14/03/2025,12:56,Chocojar(Matcha),Ahmad Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0607,6.5,8,1.5
T0293,14/03/2025,17:11,Chocojar(Matcha),Siti Latif,Cash,N/A,6.5,8,1.5
T0294,14/03/2025,13:20,Chocojar(Chocolate),Liyana Rahman,Cash,N/A,6.5,8,1.5
T0295,14/03/2025,17:31,Chocojar(Strawberry),Zulkifli Omar,Cash,N/A,6.5,8,1.5
T0296,15/03/2025,14:17,Chocojar(Strawberry),Faiz Ismail,Cash,N/A,6.5,8,1.5
T0297,15/03/2025,22:29,Chocojar(Blueberry),Zara Omar,Cash,N/A,6.5,8,1.5
T0298,15/03/2025,14:21,Chocojar(Strawberry),Aina Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0159,6.5,8,1.5
T0299,15/03/2025,14:13,Chocojar(Strawberry),Siti Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0164,6.5,8,1.5
T0300,15/03/2025,14:55,Chocojar(Chocolate),Nur Salleh,Cash,N/A,6.5,8,1.5
T0301,15/03/2025,22:52,Chocojar(Chocolate),Nur Zainal,Cash,N/A,6.5,8,1.5
T0302,15/03/2025,16:52,Chocojar(Matcha),Hafiz Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0190,6.5,8,1.5
T0303,15/03/2025,16:02,Chocojar(Strawberry),Ahmad Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0246,6.5,8,1.5
T0304,15/03/2025,13:16,Chocojar(Blueberry),Siti Latif,Cash,N/A,6.5,8,1.5
T0305,15/03/2025,10:29,Chocojar(Matcha),Aina Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0287,6.5,8,1.5
T0306,15/03/2025,09:05,Chocojar(Vanilla),Faiz Yusof,Cash,N/A,6.5,8,1.5
T0307,15/03/2025,16:36,Chocojar(Chocolate),Hafiz Yusof,Cash,N/A,6.5,8,1.5
T0308,15/03/2025,14:56,Chocojar(Strawberry),Ahmad Rahman,Cash,N/A,6.5,8,1.5
T0309,15/03/2025,12:59,Chocojar(Chocolate),Aina Yusof,Cash,N/A,6.5,8,1.5
T0310,15/03/2025,11:51,Chocojar(Matcha),Hafiz Aziz,Cash,N/A,6.5,8,1.5
T0311,15/03/2025,10:59,Chocojar(Vanilla),Ali Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0382,6.5,8,1.5
T0312,15/03/2025,19:58,Chocojar(Strawberry),Ahmad Rahman,Cash,N/A,6.5,8,1.5
T0313,15/03/2025,09:10,Chocojar(Matcha),Nur Omar,OnlineBanking,https://photos.app.goo.gl.com/T0455,6.5,8,1.5
T0314,15/03/2025,14:50,Chocojar(Matcha),Ahmad Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0470,6.5,8,1.5
T0315,15/03/2025,15:05,Chocojar(Vanilla),Zara Rahman,Cash,N/A,6.5,8,1.5
T0316,15/03/2025,17:21,Chocojar(Blueberry),Liyana Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0509,6.5,8,1.5
T0317,15/03/2025,17:32,Chocojar(Matcha),Liyana Rahman,Cash,N/A,6.5,8,1.5
T0318,15/03/2025,16:20,Chocojar(Vanilla),Ahmad Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0519,6.5,8,1.5
T0319,15/03/2025,19:35,Chocojar(Vanilla),Faiz Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0535,6.5,8,1.5
T0320,15/03/2025,12:16,Chocojar(Strawberry),Liyana Rahman,Cash,N/A,6.5,8,1.5
T0321,15/03/2025,10:52,Chocojar(Blueberry),Siti Ismail,Cash,N/A,6.5,8,1.5
T0322,16/03/2025,17:11,Chocojar(Vanilla),Liyana Omar,OnlineBanking,https://photos.app.goo.gl.com/T0043,6.5,8,1.5
T0323,16/03/2025,10:37,Chocojar(Vanilla),Siti Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0063,6.5,8,1.5
T0324,16/03/2025,10:33,Chocojar(Vanilla),Ahmad Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0130,6.5,8,1.5
T0325,16/03/2025,14:36,Chocojar(Blueberry),Liyana Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0142,6.5,8,1.5
T0326,16/03/2025,22:47,Chocojar(Blueberry),Zara Aziz,Cash,N/A,6.5,8,1.5
T0327,16/03/2025,09:23,Chocojar(Strawberry),Aina Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0196,6.5,8,1.5
T0328,16/03/2025,19:11,Chocojar(Blueberry),Hafiz Rahman,Cash,N/A,6.5,8,1.5
T0329,16/03/2025,11:32,Chocojar(Chocolate),Liyana Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0225,6.5,8,1.5
T0330,16/03/2025,22:30,Chocojar(Chocolate),Nur Hassan,Cash,N/A,6.5,8,1.5
T0331,16/03/2025,20:28,Chocojar(Vanilla),Zulkifli Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0260,6.5,8,1.5
T0332,16/03/2025,21:15,Chocojar(Strawberry),Liyana Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0351,6.5,8,1.5
T0333,16/03/2025,10:50,Chocojar(Strawberry),Siti Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0354,6.5,8,1.5
T0334,16/03/2025,10:46,Chocojar(Chocolate),Aina Salleh,Cash,N/A,6.5,8,1.5
T0335,16/03/2025,16:27,Chocojar(Vanilla),Aina Zainal,Cash,N/A,6.5,8,1.5
T0336,16/03/2025,13:35,Chocojar(Chocolate),Nur Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0390,6.5,8,1.5
T0337,16/03/2025,22:37,Chocojar(Chocolate),Ahmad Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0417,6.5,8,1.5
T0338,16/03/2025,14:31,Chocojar(Matcha),Zulkifli Yusof,Cash,N/A,6.5,8,1.5
T0339,16/03/2025,09:52,Chocojar(Strawberry),Ahmad Abdullah,Cash,N/A,6.5,8,1.5
T0340,16/03/2025,22:01,Chocojar(Chocolate),Ahmad Abdullah,Cash,N/A,6.5,8,1.5
T0341,16/03/2025,17:11,Chocojar(Matcha),Ahmad Latif,Cash,N/A,6.5,8,1.5
T0342,16/03/2025,16:23,Chocojar(Vanilla),Liyana Rahman,Cash,N/A,6.5,8,1.5
T0343,16/03/2025,15:37,Chocojar(Strawberry),Aina Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0505,6.5,8,1.5
T0344,16/03/2025,21:14,Chocojar(Blueberry),Siti Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0646,6.5,8,1.5
T0345,17/03/2025,16:05,Chocojar(Strawberry),Ali Salleh,Cash,N/A,6.5,8,1.5
T0346,17/03/2025,12:59,Chocojar(Vanilla),Liyana Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0108,6.5,8,1.5
T0347,17/03/2025,08:47,Chocojar(Vanilla),Zulkifli Omar,Cash,N/A,6.5,8,1.5
T0348,17/03/2025,21:47,Chocojar(Vanilla),Nur Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0192,6.5,8,1.5
T0349,17/03/2025,22:17,Chocojar(Chocolate),Zulkifli Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0223,6.5,8,1.5
T0350,17/03/2025,12:50,Chocojar(Vanilla),Nur Zainal,Cash,N/A,6.5,8,1.5
T0351,17/03/2025,22:20,Chocojar(Chocolate),Aina Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0284,6.5,8,1.5
T0352,17/03/2025,16:39,Chocojar(Matcha),Siti Latif,OnlineBanking,https://photos.app.goo.gl.com/T0315,6.5,8,1.5
T0353,17/03/2025,20:19,Chocojar(Matcha),Aina Ismail,Cash,N/A,6.5,8,1.5
T0354,17/03/2025,21:45,Chocojar(Chocolate),Liyana Aziz,Cash,N/A,6.5,8,1.5
T0355,17/03/2025,14:16,Chocojar(Matcha),Liyana Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0495,6.5,8,1.5
T0356,17/03/2025,10:10,Chocojar(Chocolate),Zara Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0501,6.5,8,1.5
T0357,17/03/2025,17:45,Chocojar(Blueberry),Zara Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0530,6.5,8,1.5
T0358,17/03/2025,22:06,Chocojar(Matcha),Nur Ismail,Cash,N/A,6.5,8,1.5
T0359,17/03/2025,14:17,Chocojar(Vanilla),Hafiz Abdullah,Cash,N/A,6.5,8,1.5
T0360,17/03/2025,08:47,Chocojar(Blueberry),Zara Zainal,Cash,N/A,6.5,8,1.5
T0361,18/03/2025,19:29,Chocojar(Strawberry),Ali Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0007,6.5,8,1.5
T0362,18/03/2025,14:09,Chocojar(Vanilla),Faiz Ismail,Cash,N/A,6.5,8,1.5
T0363,18/03/2025,13:25,Chocojar(Chocolate),Hafiz Ismail,Cash,N/A,6.5,8,1.5
T0364,18/03/2025,09:31,Chocojar(Chocolate),Siti Latif,OnlineBanking,https://photos.app.goo.gl.com/T0221,6.5,8,1.5
T0365,18/03/2025,14:37,Chocojar(Chocolate),Aina Abdullah,Cash,N/A,6.5,8,1.5
T0366,18/03/2025,13:59,Chocojar(Chocolate),Aina Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0294,6.5,8,1.5
T0367,18/03/2025,08:08,Chocojar(Strawberry),Faiz Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0341,6.5,8,1.5
T0368,18/03/2025,08:01,Chocojar(Matcha),Hafiz Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0348,6.5,8,1.5
T0369,18/03/2025,14:51,Chocojar(Matcha),Liyana Rahman,Cash,N/A,6.5,8,1.5
T0370,18/03/2025,11:18,Chocojar(Vanilla),Zulkifli Latif,Cash,N/A,6.5,8,1.5
T0371,18/03/2025,15:43,Chocojar(Chocolate),Nur Latif,OnlineBanking,https://photos.app.goo.gl.com/T0448,6.5,8,1.5
T0372,18/03/2025,11:32,Chocojar(Vanilla),Zara Rahman,Cash,N/A,6.5,8,1.5
T0373,18/03/2025,22:48,Chocojar(Strawberry),Aina Hassan,Cash,N/A,6.5,8,1.5
T0374,18/03/2025,12:35,Chocojar(Strawberry),Zara Rahman,Cash,N/A,6.5,8,1.5
T0375,18/03/2025,13:41,Chocojar(Chocolate),Aina Zainal,Cash,N/A,6.5,8,1.5
T0376,18/03/2025,21:31,Chocojar(Matcha),Zulkifli Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0571,6.5,8,1.5
T0377,19/03/2025,11:30,Chocojar(Matcha),Aina Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0016,6.5,8,1.5
T0378,19/03/2025,08:38,Chocojar(Chocolate),Ahmad Zainal,Cash,N/A,6.5,8,1.5
T0379,19/03/2025,12:48,Chocojar(Matcha),Nur Omar,Cash,N/A,6.5,8,1.5
T0380,19/03/2025,18:46,Chocojar(Matcha),Faiz Latif,Cash,N/A,6.5,8,1.5
T0381,19/03/2025,12:56,Chocojar(Matcha),Liyana Aziz,OnlineBanking,https://photos.app.goo.gl.com/T0156,6.5,8,1.5
T0382,19/03/2025,20:00,Chocojar(Matcha),Hafiz Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0236,6.5,8,1.5
T0383,19/03/2025,10:32,Chocojar(Blueberry),Aina Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0277,6.5,8,1.5
T0384,19/03/2025,08:50,Chocojar(Vanilla),Siti Omar,Cash,N/A,6.5,8,1.5
T0385,19/03/2025,15:02,Chocojar(Vanilla),Nur Latif,Cash,N/A,6.5,8,1.5
T0386,19/03/2025,10:23,Chocojar(Vanilla),Nur Rahman,Cash,N/A,6.5,8,1.5
T0387,19/03/2025,20:57,Chocojar(Matcha),Siti Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0419,6.5,8,1.5
T0388,19/03/2025,15:46,Chocojar(Strawberry),Zulkifli Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0432,6.5,8,1.5
T0389,19/03/2025,12:14,Chocojar(Chocolate),Faiz Zainal,OnlineBanking,https://photos.app.goo.gl.com/T0434,6.5,8,1.5
T0390,19/03/2025,12:22,Chocojar(Blueberry),Liyana Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0435,6.5,8,1.5
T0391,19/03/2025,09:25,Chocojar(Matcha),Ali Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0532,6.5,8,1.5
T0392,19/03/2025,20:28,Chocojar(Vanilla),Hafiz Rahman,Cash,N/A,6.5,8,1.5
T0393,19/03/2025,18:26,Chocojar(Vanilla),Zulkifli Latif,Cash,N/A,6.5,8,1.5
T0394,19/03/2025,11:56,Chocojar(Blueberry),Ali Abdullah,Cash,N/A,6.5,8,1.5
T0395,19/03/2025,11:02,Chocojar(Vanilla),Aina Hassan,Cash,N/A,6.5,8,1.5
T0396,19/03/2025,20:22,Chocojar(Vanilla),Ahmad Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0592,6.5,8,1.5
T0397,19/03/2025,10:59,Chocojar(Matcha),Liyana Omar,Cash,N/A,6.5,8,1.5
T0398,19/03/2025,11:32,Chocojar(Matcha),Siti Salleh,Cash,N/A,6.5,8,1.5
T0399,19/03/2025,08:43,Chocojar(Chocolate),Liyana Abdullah,Cash,N/A,6.5,8,1.5
T0400,20/03/2025,09:28,Chocojar(Vanilla),Nur Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0012,6.5,8,1.5
T0401,20/03/2025,16:24,Chocojar(Strawberry),Ali Latif,OnlineBanking,https://photos.app.goo.gl.com/T0079,6.5,8,1.5
T0402,20/03/2025,16:45,Chocojar(Blueberry),Faiz Aziz,Cash,N/A,6.5,8,1.5
T0403,20/03/2025,12:43,Chocojar(Blueberry),Nur Omar,OnlineBanking,https://photos.app.goo.gl.com/T0091,6.5,8,1.5
T0404,20/03/2025,15:15,Chocojar(Strawberry),Ahmad Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0232,6.5,8,1.5
T0405,20/03/2025,18:41,Chocojar(Matcha),Hafiz Zainal,Cash,N/A,6.5,8,1.5
T0406,20/03/2025,20:17,Chocojar(Vanilla),Faiz Zainal,Cash,N/A,6.5,8,1.5
T0407,20/03/2025,16:49,Chocojar(Chocolate),Ahmad Zainal,Cash,N/A,6.5,8,1.5
T0408,20/03/2025,19:41,Chocojar(Blueberry),Nur Ismail,Cash,N/A,6.5,8,1.5
T0409,20/03/2025,16:47,Chocojar(Strawberry),Siti Abdullah,OnlineBanking,https://photos.app.goo.gl.com/T0290,6.5,8,1.5
T0410,20/03/2025,22:08,Chocojar(Chocolate),Aina Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0299,6.5,8,1.5
T0411,20/03/2025,11:04,Chocojar(Matcha),Liyana Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0363,6.5,8,1.5
T0412,20/03/2025,17:20,Chocojar(Chocolate),Ahmad Yusof,Cash,N/A,6.5,8,1.5
T0413,20/03/2025,20:32,Chocojar(Blueberry),Liyana Aziz,Cash,N/A,6.5,8,1.5
T0414,20/03/2025,20:20,Chocojar(Matcha),Nur Hassan,Cash,N/A,6.5,8,1.5
T0415,20/03/2025,19:27,Chocojar(Vanilla),Zara Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0463,6.5,8,1.5
T0416,20/03/2025,19:36,Chocojar(Blueberry),Siti Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0465,6.5,8,1.5
T0417,20/03/2025,08:35,Chocojar(Chocolate),Siti Rahman,OnlineBanking,https://photos.app.goo.gl.com/T0493,6.5,8,1.5
T0418,20/03/2025,08:52,Chocojar(Vanilla),Siti Zainal,Cash,N/A,6.5,8,1.5
T0419,20/03/2025,15:54,Chocojar(Vanilla),Ahmad Latif,Cash,N/A,6.5,8,1.5
T0420,20/03/2025,14:26,Chocojar(Blueberry),Ahmad Yusof,Cash,N/A,6.5,8,1.5
T0421,20/03/2025,14:30,Chocojar(Strawberry),Zulkifli Abdullah,Cash,N/A,6.5,8,1.5
T0422,20/03/2025,18:00,Chocojar(Vanilla),Ahmad Rahman,Cash,N/A,6.5,8,1.5
T0423,20/03/2025,22:18,Chocojar(Matcha),Nur Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0618,6.5,8,1.5
T0424,20/03/2025,21:02,Chocojar(Chocolate),Siti Latif,OnlineBanking,https://photos.app.goo.gl.com/T0632,6.5,8,1.5
T0425,20/03/2025,18:04,Chocojar(Matcha),Faiz Rahman,Cash,N/A,6.5,8,1.5
T0426,20/03/2025,20:11,Chocojar(Blueberry),Hafiz Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0644,6.5,8,1.5
T0427,21/03/2025,14:12,Chocojar(Blueberry),Ali Zainal,Cash,N/A,6.5,8,1.5
T0428,21/03/2025,12:46,Chocojar(Chocolate),Zulkifli Rahman,Cash,N/A,6.5,8,1.5
T0429,21/03/2025,18:36,Chocojar(Matcha),Hafiz Aziz,Cash,N/A,6.5,8,1.5
T0430,21/03/2025,17:38,Chocojar(Chocolate),Ahmad Latif,OnlineBanking,https://photos.app.goo.gl.com/T0073,6.5,8,1.5
T0431,21/03/2025,19:16,Chocojar(Vanilla),Aina Aziz,Cash,N/A,6.5,8,1.5
T0432,21/03/2025,17:10,Chocojar(Matcha),Liyana Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0115,6.5,8,1.5
T0433,21/03/2025,16:09,Chocojar(Vanilla),Liyana Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0131,6.5,8,1.5
T0434,21/03/2025,20:47,Chocojar(Strawberry),Siti Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0215,6.5,8,1.5
T0435,21/03/2025,16:00,Chocojar(Strawberry),Siti Ismail,OnlineBanking,https://photos.app.goo.gl.com/T0218,6.5,8,1.5
T0436,21/03/2025,22:17,Chocojar(Matcha),Siti Aziz,Cash,N/A,6.5,8,1.5
T0437,21/03/2025,15:18,Chocojar(Vanilla),Siti Latif,Cash,N/A,6.5,8,1.5
T0438,21/03/2025,19:14,Chocojar(Chocolate),Ahmad Rahman,Cash,N/A,6.5,8,1.5
T0439,21/03/2025,19:43,Chocojar(Blueberry),Liyana Salleh,OnlineBanking,https://photos.app.goo.gl.com/T0374,6.5,8,1.5
T0440,21/03/2025,17:58,Chocojar(Vanilla),Faiz Yusof,OnlineBanking,https://photos.app.goo.gl.com/T0384,6.5,8,1.5
T0441,21/03/2025,09:44,Chocojar(Strawberry),Ahmad Hassan,OnlineBanking,https://photos.app.goo.gl.com/T0408,6.5,8,1.5
